"Loc","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"Kinney",2022,16678,18002,25142,17676,10774,6351,5270,5239,6130,12996,14127,15395
"Kinney",2021,34500,35080,44502,16480,21100,17698,16674,15444,16070,10753,12241,15691
"Kinney",2020,36771,46109,26167,0,64,862,1379,1059,1775,6341,8185,34900
"Kinney",2019,4948,42341,51307,32342,19906,13669,11077,12478,11676,18095,25959,27883
"Kinney",2018,26460,36950,41410,27110,16397,11248,12172,12115,11369,16630,24770,12369
"Kinney",2017,28335,33634,38115,26295,16100,12871,12587,14240,11229,15835,22595,24400
"Kinney",2016,21120,27479,30942,20749,14275,10183,9780,9458,9042,12729,17722,20168
"Kinney",2015,20668,24971,29623,18892,12973,8725,9601,8402,8770,10589,14504,16041
"Kinney",2014,19309,19320,23754,16776,10815,7860,7975,8002,7830,10432,14646,14723
"Kinney",2013,20238,17278,36688,27655,10523,7085,7144,7003,7023,4957,4725,12494
"Kinney",2012,12822,18178,22018,13920,10588,7823,7126,6826,7238,9695,15669,13091
"Kinney",2011,14748,16943,19535,14615,9611,6172,7208,6538,6292,12001,17143,12235
"Kinney",2010,16215,16215,27140,18625,12984,7659,7832,7030,8532,13813,20348,11323
"Kinney",2009,19600,20048,30383,16647,10549,8109,7988,6575,7585,10873,11473,12320
"Kinney",2008,19371,19745,29518,16045,11505,8358,8316,8118,7453,9730,11134,16765
"Kinney",2007,14970,19658,24583,17947,11464,8148,8768,8115,10181,11340,12088,17355
"Kinney",2006,16742,21657,24688,18270,13008,9431,9480,10565,9263,10888,11033,12900
"Kinney",2005,16911,21586,32490,19905,13268,9640,9260,10363,7060,12547,13299,13456
"Kinney",2004,14226,21945,25909,10953,13041,9445,10293,9400,8962,11760,13238,12657
"Kinney",2003,15915,17586,30208,12097,13431,9524,9553,10239,8041,11710,10255,9343
"Kinney",2002,13759,15114,26822,15050,11600,8607,8553,9400,8546,3178,11917,12851
"Kinney",2001,16007,21452,26548,19214,12042,8885,10146,9227,8853,9577,14822,13759
"Kinney",2000,7189,19589,22984,19893,11005,8816,9014,9104,9325,12952,25145,13441
"Kinney",1999,16224,18104,27741,9190,13198,9618,9657,9175,9576,11951,12207,18456
"Kinney",1998,12237,13927,14528,19371,14194,8400,8093,8601,9209,12296,12311,5835
"Kinney",1997,20725,10482,26259,9989,14914,10716,9219,9116,5922,14667,9710,8751
"Kinney",1996,8846,16174,18106,12891,9916,6214,5381,5116,11946,12695,14385,14973
"Kinney",1995,9000,11873,16043,11248,7935,5670,4977,4773,5553,5863,6105,7962
"Kinney",1994,8351,9672,13040,11093,7856,5643,5686,5820,6023,7418,7585,8907
"Kinney",1993,7941,9672,10000,10597,7148,4756,3384,5344,5104,6314,5742,5931
"Kinney",1992,7900,7972,7900,8674,7937,4390,3384,5251,622,650,6509,6357
"Picture Rocks 2",2022,105711,89292,85395,106100,104002,116288,121875,105169,97975,108158,104349,105772
"Picture Rocks 2",2021,101484,96592,111867,106747,107238,101448,99395,104311,102381,106731,102410,106401
"Picture Rocks 2",2020,109340,105799,102070,82750,89027,103500,106950,106950,103500,106950,103500,106950
"Picture Rocks 2",2019,98526,91980,107288,102731,105210,96863,99316,104046,99451,107860,103293,108667
"Picture Rocks 2",2018,96576,93534,103582,98167,100089,93486,95097,92170,90739,100906,95338,98333
"Picture Rocks 2",2017,106950,97371,105816,99359,105494,98674,94125,100511,95434,98745,96571,100350
"Picture Rocks 2",2016,106950,100050,106950,103500,106950,103500,106950,106950,103500,106950,103500,106950
"Picture Rocks 2",2015,106950,96600,106950,103500,106950,103500,106950,106950,103500,106950,103500,106950
"Picture Rocks 2",2014,106950,96600,106950,103500,106950,103500,106950,106950,103500,106950,103500,106950
"Picture Rocks 2",2013,106950,96600,106950,103500,106950,103500,106950,106950,103500,106950,103500,106950
"Picture Rocks 2",2012,106950,100050,106950,103500,106950,103500,106950,106950,103500,106950,103500,106950
"Picture Rocks 2",2011,106683,100975,111939,107319,107158,100566,100368,103891,101235,106506,102803,108540
"Picture Rocks 2",2010,108246,103479,114817,113474,108900,103500,106950,109317,105343,109670,105310,109104
"Picture Rocks 2",2009,110933,104407,113775,112157,109428,106212,106145,106258,99384,107854,106283,112986
"Picture Rocks 2",2008,108787,109256,106950,109301,112737,101259,103855,104521,104104,110867,104735,110854
"Picture Rocks 2",2007,111447,107211,113438,110278,116939,107168,105249,107993,85980,108560,108495,110386
"Picture Rocks 2",2006,111876,106666,116511,112783,112610,107616,105036,110671,107194,113856,108562,108985
"Picture Rocks 2",2005,106950,106950,106950,94630,112214,103500,105259,106950,103500,106950,103500,113004
"Picture Rocks 2",2004,109400,106250,115860,110674,109546,103726,106005,109403,105136,111225,111220,108200
"Picture Rocks 2",2003,109142,100143,111641,108721,108844,101952,102772,104809,101936,108782,103461,110449
"Picture Rocks 2",2002,105578,99428,112501,104063,108921,100612,103148,106928,102204,109068,103023,108758
"Picture Rocks 2",2001,99066,84115,105000,44522,103013,98195,101373,103937,97618,104877,102205,105334
"Picture Rocks 2",2000,97756,96521,104507,99242,95448,90912,92195,89900,92074,97499,95925,102108
"Picture Rocks 2",1999,98742,93018,105070,100796,102054,90912,92195,96640,94538,100192,93462,99284
"Picture Rocks 2",1998,81792,80667,104517,100149,99644,90912,95317,96640,94538,100192,96026,100917
"Picture Rocks 2",1997,92872,86769,100029,96563,74651,90925,92315,87480,83200,6058,79567,90050
"Picture Rocks 2",1996,58934,75934,88323,90414,90940,82152,80232,87480,83200,6058,79567,93738
"Picture Rocks 2",1995,69517,66298,88845,83300,84565,82152,80232,74175,81214,6058,79567,89388
"Picture Rocks 2",1994,58365,76215,83431,77706,76767,77266,76668,74175,78214,6058,70723,73760
"Picture Rocks 2",1993,58365,76215,82048,65666,61485,51043,45379,74175,94206,25239,50041,74224
"Picture Rocks 2",1992,58365,57608,73565,58597,56290,51043,45379,74175,94206,25239,50041,74224
"Picture Rocks 5",2022,107284,102619,114157,108072,103761,117117,129509,109989,105910,110401,105595,110793
"Picture Rocks 5",2021,102284,97741,112570,108860,107925,101472,99930,104879,102652,107403,104075,110560
"Picture Rocks 5",2020,109859,106461,101769,80937,88370,102000,105400,105400,102000,105400,102000,105400
"Picture Rocks 5",2019,97069,90760,106868,105184,106239,97424,100114,104527,99680,108405,103936,108541
"Picture Rocks 5",2018,97591,91562,102687,97158,98167,91381,93524,94862,78276,99225,93292,96738
"Picture Rocks 5",2017,105400,95339,103793,97543,103478,96572,91881,87213,92904,96509,93986,97804
"Picture Rocks 5",2016,105400,98600,105400,102000,105400,102000,105400,105400,102000,105400,102000,105400
"Picture Rocks 5",2015,105400,95200,105400,102000,105400,102000,105400,105400,102000,105400,102000,105400
"Picture Rocks 5",2014,105400,95200,105400,102000,105400,102000,105400,105400,102000,105400,102000,105400
"Picture Rocks 5",2013,105400,95200,105400,102000,105400,102000,105400,105400,102000,105400,102000,105400
"Picture Rocks 5",2012,105400,98600,105400,102000,105400,102000,105400,105400,102000,105400,102000,105400
"Picture Rocks 5",2011,106415,100603,111629,107129,103690,100643,100360,103987,100918,106144,102690,106993
"Picture Rocks 5",2010,107919,103210,115012,105881,104692,102000,105400,109166,105433,105695,105196,109304
"Picture Rocks 5",2009,110844,104301,114354,109928,105930,99805,103167,99944,97757,106836,106165,112862
"Picture Rocks 5",2008,106315,109989,105400,106312,111633,99482,92849,82394,85709,98651,91204,110821
"Picture Rocks 5",2007,110659,106310,112640,109816,117305,107793,105948,107249,85714,107235,108369,110202
"Picture Rocks 5",2006,111624,106405,115926,112673,114304,108170,105492,110794,107199,113621,108382,107893
"Picture Rocks 5",2005,105400,105400,105400,94360,112201,102000,105442,105400,102000,105400,102000,112850
"Picture Rocks 5",2004,108873,105565,115303,110136,109474,103716,105961,109448,105155,111491,111190,107800
"Picture Rocks 5",2003,104698,98800,109611,107609,108686,101784,98619,104734,96733,102410,103111,110113
"Picture Rocks 5",2002,104795,98532,112179,101465,108554,94575,103251,106884,102141,108880,102780,108306
"Picture Rocks 5",2001,98508,82208,104000,92967,102725,98105,101295,103913,97597,104549,101739,104818
"Picture Rocks 5",2000,98181,96322,104186,98942,101389,71494,69024,89613,92936,97197,95452,101606
"Picture Rocks 5",1999,99340,93722,106043,102063,103049,92406,86515,98033,95179,101537,94249,99478
"Picture Rocks 5",1998,83613,79787,105781,102004,101022,92406,96681,98033,95179,101537,96471,101879
"Picture Rocks 5",1997,92291,87116,99123,95989,96857,93940,94501,86659,83200,73251,79233,91782
"Picture Rocks 5",1996,58781,75781,87272,89732,90544,81819,79993,86659,83200,73251,79233,93008
"Picture Rocks 5",1995,68685,65355,87345,82286,84316,81819,79993,68830,81500,73251,79233,89244
"Picture Rocks 5",1994,56518,76553,83094,77747,76562,77308,77136,68830,78679,73251,75346,73041
"Picture Rocks 5",1993,56518,76553,81000,83558,57964,51061,46298,68830,56405,58242,59292,73554
"Picture Rocks 5",1992,56518,57258,73430,58740,57964,51061,46298,68830,56405,58242,59292,73554
